id,pred,,
comment_0,0,,
comment_1,0,,
comment_2,0,,
comment_3,0,,
comment_4,1,,
comment_5,0,,
comment_6,0,,
comment_7,0,,
comment_8,1,,
comment_9,1,,
comment_10,1,,
comment_11,0,,
comment_12,0,,
comment_13,0,,
comment_14,1,,
comment_15,0,,
comment_16,0,,
comment_17,0,,
comment_18,0,,
comment_19,0,,
comment_20,0,,
comment_21,1,,
comment_22,1,,
comment_23,1,,
comment_24,0,,
comment_25,1,,
comment_26,1,,
comment_27,0,,
comment_28,0,,
comment_29,0,,
comment_30,1,,
comment_31,0,,
comment_32,1,,
comment_33,0,,
comment_34,0,,
comment_35,0,,
comment_36,0,,
comment_37,1,,
comment_38,1,,
comment_39,1,,
comment_40,0,,
comment_41,0,,
comment_42,0,,
comment_43,0,,
comment_44,0,,
comment_45,0,,
comment_46,0,,
comment_47,0,,
comment_48,0,,
comment_49,0,,
comment_50,0,,
comment_51,0,,
comment_52,0,,
comment_53,0,,
comment_54,1,,
comment_55,0,,
comment_56,0,,
comment_57,0,,
comment_58,0,,
comment_59,1,,
comment_60,1,,
comment_61,0,,
comment_62,1,,
comment_63,0,,
comment_64,0,,
comment_65,0,,
comment_66,0,,
comment_67,1,,
comment_68,0,,
comment_69,1,,
comment_70,1,,
comment_71,1,,
comment_72,0,,
comment_73,0,,
comment_74,0,,
comment_75,0,,
comment_76,0,,
comment_77,0,,
comment_78,0,,
comment_79,0,,
comment_80,0,,
comment_81,0,,
comment_82,0,,
comment_83,1,,
comment_84,1,,
comment_85,1,,
comment_86,0,,
comment_87,0,,
comment_88,1,,
comment_89,1,,
comment_90,0,,
comment_91,0,,
comment_92,0,,
comment_93,1,,
comment_94,1,,
comment_95,0,,
comment_96,0,,
comment_97,1,,
comment_98,1,,
comment_99,0,,
comment_100,0,,
comment_101,0,,
comment_102,0,,
comment_103,0,,
comment_104,0,,
comment_105,0,,
comment_106,1,,
comment_107,1,,
comment_108,0,,
comment_109,0,,
comment_110,0,,
comment_111,0,,
comment_112,0,,
comment_113,0,,
comment_114,0,,
comment_115,1,,
comment_116,0,,
comment_117,1,,
comment_118,1,,
comment_119,0,,
comment_120,1,,
comment_121,1,,
comment_122,0,,
comment_123,1,,
comment_124,0,,
comment_125,1,,
comment_126,0,,
comment_127,1,,
comment_128,0,,
comment_129,1,,
comment_130,0,,
comment_131,0,,
comment_132,0,,
comment_133,1,,
comment_134,0,,
comment_135,1,,
comment_136,0,,
comment_137,0,,
comment_138,0,,
comment_139,1,,
comment_140,0,,
comment_141,0,,
comment_142,0,,
comment_143,0,,
comment_144,1,,
comment_145,0,,
comment_146,0,,
comment_147,0,,
comment_148,0,,
comment_149,0,,
comment_150,0,,
comment_151,1,,
comment_152,0,,
comment_153,0,,
comment_154,1,,
comment_155,0,,
comment_156,0,,
comment_157,0,,
comment_158,1,,
comment_159,0,,
comment_160,1,,
comment_161,0,,
comment_162,1,,
comment_163,0,,
comment_164,0,,
comment_165,1,,
comment_166,0,,
comment_167,1,,
comment_168,0,,
comment_169,0,,
comment_170,0,,
comment_171,0,,
comment_172,0,,
comment_173,0,,
comment_174,0,,
comment_175,0,,
comment_176,0,,
comment_177,0,,
comment_178,1,,
comment_179,0,,
comment_180,1,,
comment_181,0,,
comment_182,1,,
comment_183,0,,
comment_184,1,,
comment_185,0,,
comment_186,1,,
comment_187,1,,
comment_188,0,,
comment_189,0,,
comment_190,0,,
comment_191,0,,
comment_192,1,,
comment_193,0,,
comment_194,0,,
comment_195,0,,
comment_196,0,,
comment_197,0,,
comment_198,0,,
comment_199,1,,
comment_200,1,,
comment_201,0,,
comment_202,1,,
comment_203,1,,
comment_204,0,,
comment_205,1,,
comment_206,1,,
comment_207,0,,
comment_208,1,,
comment_209,0,,
comment_210,0,,
comment_211,1,,
comment_212,1,,
comment_213,1,,
comment_214,0,,
comment_215,1,,
comment_216,1,,
comment_217,0,,
comment_218,0,,
comment_219,0,,
comment_220,1,,
comment_221,1,,
comment_222,1,,
comment_223,0,,
comment_224,0,,
comment_225,1,,
comment_226,0,,
comment_227,0,,
comment_228,0,,
comment_229,1,,
comment_230,0,,
comment_231,1,,
comment_232,0,,
comment_233,1,,
comment_234,0,,
comment_235,0,,
comment_236,1,,
comment_237,1,,
comment_238,1,,
comment_239,0,,
comment_240,0,,
comment_241,1,,
comment_242,0,,
comment_243,0,,
comment_244,0,,
comment_245,0,,
comment_246,1,,
comment_247,0,,
comment_248,0,,
comment_249,0,,
comment_250,0,,
comment_251,0,,
comment_252,0,,
comment_253,0,,
comment_254,1,,
comment_255,0,,
comment_256,0,,
comment_257,0,,
comment_258,1,,
comment_259,1,,
comment_260,0,,
comment_261,1,,
comment_262,0,,
comment_263,0,,
comment_264,1,,
comment_265,0,,
comment_266,1,,
comment_267,1,,
comment_268,0,,
comment_269,1,,
comment_270,0,,
comment_271,1,,
comment_272,1,,
comment_273,1,,
comment_274,0,,
comment_275,1,,
comment_276,1,,
comment_277,1,,
comment_278,1,,
comment_279,1,,
comment_280,0,,
comment_281,0,,
comment_282,0,,
comment_283,0,,
comment_284,0,,
comment_285,0,,
comment_286,0,,
comment_287,0,,
comment_288,0,,
comment_289,1,,
comment_290,0,,
comment_291,0,,
comment_292,0,,
comment_293,1,,
comment_294,1,,
comment_295,0,,
